                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         train/ave_loss,           val/ave_loss,                   mIOU,             IOU_array0,             IOU_array1,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     32,                0.80089,                0.58756,                 0.9686,                 0.8907,                0.89639,                0.93139,                0.73572,                0.81405,                0.56996,                0.97003,              0.0016456,              0.0013595,                0.74048,                 0.9995,                0.48146,                 11.146,              0.0024978,              0.0014965,              0.0014965,              0.0014965,              0.0014965
                     33,                 0.7925,                0.58467,                0.96674,                0.92686,                0.87048,                0.93406,                0.74425,                0.79663,                0.52853,                0.96818,               0.001452,              0.0013201,                0.75633,                0.99952,                0.51315,                 11.158,              0.0043723,               0.001491,               0.001491,               0.001491,               0.001491
                     34,                0.80136,                0.59932,                0.97462,                0.89311,                 0.8246,                0.90827,                0.70145,                 0.8427,                0.59828,                0.98678,              0.0015621,              0.0015626,                0.74296,                0.99946,                0.48646,                 11.171,              0.0047975,              0.0014855,              0.0014855,              0.0014855,              0.0014855
                     35,                0.78956,                0.59121,                 0.9716,                0.87403,                0.82609,                0.90917,                0.71996,                0.80766,                0.59681,                 0.9829,              0.0015546,              0.0017328,                 0.7081,                0.99941,                0.41679,                 11.182,              0.0039997,                0.00148,                0.00148,                0.00148,                0.00148
                     36,                 0.8001,                0.59739,                0.97881,                0.87002,                0.88504,                0.93066,                0.74271,                0.78024,                 0.5504,                0.95914,              0.0016766,              0.0014878,                0.71404,                0.99948,                 0.4286,                 11.194,              0.0043205,              0.0014745,              0.0014745,              0.0014745,              0.0014745
                     37,                0.78078,                 0.5903,                0.97362,                0.81382,                0.87479,                0.89734,                0.72304,                0.78481,                0.61418,                0.96346,              0.0014752,              0.0014592,                0.73834,                0.99949,                0.47718,                 11.206,              0.0032239,               0.001469,               0.001469,               0.001469,               0.001469
                     38,                0.78349,                0.59318,                0.97422,                0.91073,                  0.875,                0.94071,                0.75423,                0.77833,                0.52128,                0.96152,              0.0015726,              0.0014463,                0.74774,                0.99949,                0.49599,                 11.218,              0.0070106,              0.0014635,              0.0014635,              0.0014635,              0.0014635
                     39,                0.77361,                0.57964,                0.96404,                0.90277,                0.89901,                0.93944,                0.74892,                0.77927,                0.50635,                0.95226,              0.0014284,               0.001346,                0.73636,                0.99951,                 0.4732,                  11.23,              0.0017647,               0.001458,               0.001458,               0.001458,               0.001458
                     40,                0.77316,                0.56714,                0.96294,                0.90875,                0.89967,                0.94021,                0.75068,                0.77903,                 0.5081,                0.96561,              0.0014457,              0.0012508,                0.75894,                0.99952,                0.51836,                 11.241,              0.0038375,              0.0014525,              0.0014525,              0.0014525,              0.0014525
                     41,                0.76574,                0.55963,                0.95181,                0.88982,                0.88269,                 0.9176,                0.73883,                 0.7732,                 0.5402,                0.96326,              0.0013213,              0.0013579,                 0.7311,                 0.9995,                 0.4627,                 11.252,               0.002604,               0.001447,               0.001447,               0.001447,               0.001447
                     42,                0.76627,                0.55742,                0.95867,                0.89128,                0.90993,                0.93525,                0.75324,                0.76801,                 0.5072,                0.95423,              0.0013172,              0.0014541,                 0.7516,                0.99946,                0.50374,                 11.264,              0.0022415,              0.0014415,              0.0014415,              0.0014415,              0.0014415
                     43,                0.77304,                0.54909,                0.96363,                0.92171,                 0.8774,                0.92974,                0.73606,                0.79705,                0.52532,                0.96526,              0.0016367,              0.0015673,                0.70897,                0.99943,                0.41852,                 11.276,              0.0046022,               0.001436,               0.001436,               0.001436,               0.001436
                     44,                0.75426,                0.54705,                  0.959,                0.92304,                0.87138,                0.93789,                0.75391,                0.78507,                 0.5076,                0.96829,              0.0015217,              0.0013051,                0.74731,                0.99952,                0.49511,                 11.287,              0.0021341,              0.0014305,              0.0014305,              0.0014305,              0.0014305
                     45,                0.75453,                0.54032,                0.95483,                0.89021,                0.88451,                0.92298,                0.74693,                0.77141,                 0.5115,                0.95198,              0.0014115,              0.0013408,                0.76092,                0.99951,                0.52234,                 11.298,              0.0030002,               0.001425,               0.001425,               0.001425,               0.001425
                     46,                0.77488,                0.57047,                 0.9647,                0.92383,                0.85581,                0.93097,                0.75767,                 0.7632,                0.51721,                0.95371,              0.0014038,              0.0012647,                0.77262,                0.99954,                 0.5457,                 11.309,               0.002693,              0.0014195,              0.0014195,              0.0014195,              0.0014195
                     47,                0.75411,                0.55352,                0.95749,                0.91744,                0.88921,                0.93765,                0.76431,                0.76009,                 0.4865,                0.95578,              0.0013206,              0.0014441,                0.72213,                0.99951,                0.44475,                  11.32,              0.0031601,              0.0014139,              0.0014139,              0.0014139,              0.0014139
                     48,                0.75938,                0.55452,                0.96297,                0.91226,                0.90478,                0.94618,                0.76988,                0.76052,                0.48294,                0.95399,              0.0013355,              0.0013027,                 0.7598,                 0.9995,                 0.5201,                 11.331,              0.0019991,              0.0014084,              0.0014084,              0.0014084,              0.0014084
                     49,                 0.7521,                0.53052,                0.95123,                0.91971,                 0.8855,                0.93893,                0.76578,                 0.7603,                0.48522,                0.95142,              0.0013035,              0.0012445,                0.76383,                0.99954,                0.52812,                 11.342,              0.0029234,              0.0014029,              0.0014029,              0.0014029,              0.0014029
                     50,                0.74956,                0.53201,                0.95036,                0.91891,                0.87875,                 0.9343,                0.74927,                0.76679,                0.50467,                0.96274,              0.0010867,              0.0012278,                0.75688,                0.99953,                0.51424,                 11.353,               0.003005,              0.0013974,              0.0013974,              0.0013974,              0.0013974
                     51,                0.74376,                0.53221,                0.94728,                0.92684,                0.89276,                 0.9433,                 0.7586,                0.75254,                0.48491,                0.95261,              0.0011393,              0.0013549,                0.75428,                0.99955,                0.50902,                 11.363,              0.0019661,              0.0013919,              0.0013919,              0.0013919,              0.0013919
                     52,                0.74124,                0.52291,                0.95031,                0.90676,                0.87677,                0.93068,                0.74778,                0.78198,                0.50396,                0.96482,              0.0011455,              0.0012491,                0.78431,                0.99957,                0.56905,                 11.374,              0.0023991,              0.0013864,              0.0013864,              0.0013864,              0.0013864
                     53,                 0.7586,                0.53533,                0.96298,                0.91163,                0.90307,                0.94206,                0.75263,                 0.8004,                0.50249,                0.96396,              0.0012068,              0.0014205,                0.73172,                0.99951,                0.46393,                 11.384,              0.0025639,              0.0013809,              0.0013809,              0.0013809,              0.0013809
                     54,                0.76923,                0.55182,                0.96788,                0.90907,                0.89816,                0.93677,                0.76414,                0.75344,                0.49329,                0.94431,              0.0012202,              0.0012253,                0.78173,                0.99953,                0.56393,                 11.396,              0.0032578,              0.0013754,              0.0013754,              0.0013754,              0.0013754
                     55,                0.73573,                0.51939,                0.94549,                0.91875,                0.92089,                0.93878,                 0.7607,                 0.7545,                0.48673,                0.94527,              0.0011249,               0.001259,                0.77171,                0.99956,                0.54386,                 11.406,              0.0018153,              0.0013699,              0.0013699,              0.0013699,              0.0013699
                     56,                0.74678,                0.51859,                0.95219,                0.90192,                0.89919,                0.93791,                0.74984,                 0.7788,                0.49523,                0.96277,              0.0011272,              0.0013168,                0.76489,                0.99953,                0.53026,                 11.416,              0.0022463,              0.0013644,              0.0013644,              0.0013644,              0.0013644
                     57,                0.73563,                 0.5153,                0.94424,                0.90903,                0.88991,                0.93969,                0.75573,                0.77304,                0.49155,                0.96389,              0.0011835,              0.0013459,                 0.7724,                0.99951,                0.54528,                 11.426,               0.003099,              0.0013589,              0.0013589,              0.0013589,              0.0013589
                     58,                0.74267,                0.52598,                0.94594,                0.93226,                0.87763,                0.94197,                0.76532,                0.75163,                0.48536,                 0.9466,              0.0012578,              0.0015078,                0.73312,                0.99952,                0.46672,                 11.437,              0.0020681,              0.0013534,              0.0013534,              0.0013534,              0.0013534
                     59,                 0.7307,                0.51244,                0.94244,                0.91066,                0.90441,                0.93907,                0.76328,                0.75888,                0.48331,                0.95282,              0.0012574,               0.001264,                0.76424,                0.99954,                0.52894,                 11.447,              0.0029826,              0.0013479,              0.0013479,              0.0013479,              0.0013479
                     60,                0.72145,                0.49889,                0.94129,                  0.928,                 0.8947,                0.92683,                0.74737,                0.77518,                0.51341,                0.96181,              0.0010932,              0.0013713,                0.74118,                0.99953,                0.48284,                 11.457,              0.0034107,              0.0013424,              0.0013424,              0.0013424,              0.0013424
                     61,                0.73338,                0.51003,                0.94574,                0.92355,                0.90472,                0.94256,                0.76413,                0.75607,                0.48448,                0.95075,              0.0011699,              0.0013453,                0.76858,                0.99954,                0.53763,                 11.467,               0.001534,              0.0013369,              0.0013369,              0.0013369,              0.0013369
                     62,                0.73859,                0.51304,                0.94378,                0.89073,                0.90082,                0.94469,                 0.7748,                0.75987,                0.48536,                0.95518,              0.0010856,              0.0012559,                 0.7601,                0.99955,                0.52065,                 11.478,              0.0022314,              0.0013314,              0.0013314,              0.0013314,              0.0013314
                     63,                0.72348,                0.50854,                0.94446,                0.91308,                 0.8978,                0.94288,                0.75408,                0.81006,                0.50988,                0.96585,              0.0012966,              0.0015476,                0.74682,                0.99954,                0.49411,                 11.487,              0.0027352,              0.0013259,              0.0013259,              0.0013259,              0.0013259
                     64,                0.73508,                0.51474,                 0.9491,                0.90017,                0.88514,                0.93629,                0.76182,                0.75998,                0.50026,                0.95556,              0.0013662,              0.0013321,                0.75777,                0.99955,                0.51598,                 11.497,              0.0029436,              0.0013204,              0.0013204,              0.0013204,              0.0013204
                     65,                0.73003,                0.51224,                0.94897,                0.89445,                0.89204,                0.93611,                0.75668,                0.76944,                0.50289,                0.95453,              0.0011151,              0.0014279,                0.76144,                0.99956,                0.52332,                 11.507,              0.0019079,              0.0013149,              0.0013149,              0.0013149,              0.0013149
                     66,                0.72094,                0.50765,                 0.9475,                0.90497,                0.85959,                0.92814,                0.75065,                 0.7678,                0.51826,                0.96141,              0.0012225,              0.0014128,                0.76231,                0.99952,                 0.5251,                 11.517,              0.0024607,              0.0013094,              0.0013094,              0.0013094,              0.0013094
                     67,                0.71471,                0.49952,                 0.9447,                0.92178,                 0.9045,                0.94642,                0.76933,                0.75574,                0.47175,                0.95054,              0.0011111,              0.0013123,                0.75727,                0.99954,                  0.515,                 11.527,              0.0021159,              0.0013039,              0.0013039,              0.0013039,              0.0013039
                     68,                0.71878,                0.50319,                0.93881,                0.91038,                0.90172,                0.93587,                0.75508,                0.77517,                0.49771,                0.95737,              0.0011405,              0.0014586,                0.76239,                0.99952,                0.52526,                 11.536,              0.0040434,              0.0012984,              0.0012984,              0.0012984,              0.0012984
                     69,                0.72374,                0.50517,                0.94231,                0.91305,                0.89773,                0.93706,                0.75205,                0.76259,                0.49354,                0.95023,              0.0011227,              0.0013739,                0.75198,                0.99955,                0.50441,                 11.546,              0.0016675,              0.0012929,              0.0012929,              0.0012929,              0.0012929
                     70,                0.73559,                0.50318,                0.94504,                0.90857,                0.90367,                0.93747,                0.75057,                 0.7686,                0.49437,                0.95397,              0.0010977,              0.0013634,                0.76189,                0.99953,                0.52425,                 11.556,              0.0032072,              0.0012874,              0.0012874,              0.0012874,              0.0012874
                     71,                0.70884,                0.50239,                0.94088,                0.91063,                0.89146,                0.93369,                 0.7537,                0.75705,                0.49407,                0.95644,              0.0011058,              0.0012322,                0.78352,                0.99957,                0.56746,                 11.566,              0.0030258,              0.0012819,              0.0012819,              0.0012819,              0.0012819
                     72,                0.71687,                0.48909,                0.93947,                0.92663,                 0.8953,                0.94221,                0.76607,                0.75269,                0.48123,                0.95317,              0.0010979,              0.0012069,                0.78027,                0.99957,                0.56096,                 11.575,              0.0018918,              0.0012764,              0.0012764,              0.0012764,              0.0012764
                     73,                 0.7073,                0.47748,                0.92945,                0.91902,                0.89195,                0.93685,                0.76147,                0.75631,                0.47833,                0.94877,             0.00097657,               0.001274,                0.75745,                0.99956,                0.51534,                 11.584,              0.0022751,              0.0012709,              0.0012709,              0.0012709,              0.0012709
                     74,                0.70077,                0.47935,                0.93931,                0.91871,                0.88348,                0.93218,                0.75874,                0.75881,                0.48688,                0.95197,               0.001115,              0.0014824,                0.75867,                0.99945,                0.51789,                 11.594,              0.0029708,              0.0012654,              0.0012654,              0.0012654,              0.0012654
                     75,                0.72013,                 0.4967,                 0.9461,                0.90544,                0.90496,                0.94018,                0.76569,                0.76537,                0.48401,                0.95621,              0.0011073,               0.001498,                0.73784,                0.99953,                0.47615,                 11.603,              0.0016421,              0.0012599,              0.0012599,              0.0012599,              0.0012599
